package	version	revision	path	file	sha256	url
musli-macros	0.0.124	9d2aabe2f44cafd6cc36fbfeeeae314693902fe8	LICENSE-MIT	LICENSE-MIT	51ee5b704d031d646ddbfa65caf9a947ff426431be60ec54f1c76d5b78cb889d	https://raw.githubusercontent.com/udoprog/musli/9d2aabe2f44cafd6cc36fbfeeeae314693902fe8/LICENSE-MIT
musli-macros	0.0.124	9d2aabe2f44cafd6cc36fbfeeeae314693902fe8	LICENSE-APACHE	LICENSE-APACHE	cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30	https://raw.githubusercontent.com/udoprog/musli/9d2aabe2f44cafd6cc36fbfeeeae314693902fe8/LICENSE-APACHE
rune-alloc-macros	0.14.2	971350fde49f3ee8ee05f0e8f4416919f298738c	LICENSE-MIT	LICENSE-MIT	69f4c49c53b3798ea665d464784ede97b4826e59d15a1bac74cbb268789c8b14	https://raw.githubusercontent.com/rune-rs/rune/971350fde49f3ee8ee05f0e8f4416919f298738c/LICENSE-MIT
rune-alloc-macros	0.14.2	971350fde49f3ee8ee05f0e8f4416919f298738c	LICENSE-APACHE	LICENSE-APACHE	cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30	https://raw.githubusercontent.com/rune-rs/rune/971350fde49f3ee8ee05f0e8f4416919f298738c/LICENSE-APACHE
rune-macros	0.14.2	971350fde49f3ee8ee05f0e8f4416919f298738c	LICENSE-MIT	LICENSE-MIT	69f4c49c53b3798ea665d464784ede97b4826e59d15a1bac74cbb268789c8b14	https://raw.githubusercontent.com/rune-rs/rune/971350fde49f3ee8ee05f0e8f4416919f298738c/LICENSE-MIT
rune-macros	0.14.2	971350fde49f3ee8ee05f0e8f4416919f298738c	LICENSE-APACHE	LICENSE-APACHE	cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30	https://raw.githubusercontent.com/rune-rs/rune/971350fde49f3ee8ee05f0e8f4416919f298738c/LICENSE-APACHE
rune-tracing-macros	0.14.2	971350fde49f3ee8ee05f0e8f4416919f298738c	LICENSE-MIT	LICENSE-MIT	69f4c49c53b3798ea665d464784ede97b4826e59d15a1bac74cbb268789c8b14	https://raw.githubusercontent.com/rune-rs/rune/971350fde49f3ee8ee05f0e8f4416919f298738c/LICENSE-MIT
rune-tracing-macros	0.14.2	971350fde49f3ee8ee05f0e8f4416919f298738c	LICENSE-APACHE	LICENSE-APACHE	cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30	https://raw.githubusercontent.com/rune-rs/rune/971350fde49f3ee8ee05f0e8f4416919f298738c/LICENSE-APACHE
rustyline-derive	0.12.0	3ad9e653750b6c343b1fb2573fb5d6bb3e10ddad	LICENSE	LICENSE	c660c3a1ca6c7c0d736f249dbc7ca5bdf1cbc7bf4d57bc867d3b47ec1ba8374e	https://raw.githubusercontent.com/kkawakam/rustyline/3ad9e653750b6c343b1fb2573fb5d6bb3e10ddad/LICENSE
alloc-stdlib	0.2.4	ae42d22078b98549e987d2f03d12df7b984fde47	LICENSE	LICENSE	c0c56f26d9c051cac4d200c34c84e7ae9aaa853e01a982a1df08b09931e518ae	https://raw.githubusercontent.com/dropbox/rust-alloc-no-stdlib/ae42d22078b98549e987d2f03d12df7b984fde47/LICENSE
