package	version	revision	path	file	sha256	url
clipboard-win	5.4.1	3b27cf2bfd1adcfa6e0264eb51c1025ddaf0f342	LICENSE	LICENSE	c9bff75738922193e67fa726fa225535870d2aa1059f91452c411736284ad566	https://raw.githubusercontent.com/DoumanAsh/clipboard-win/3b27cf2bfd1adcfa6e0264eb51c1025ddaf0f342/LICENSE
musli	0.0.124	9d2aabe2f44cafd6cc36fbfeeeae314693902fe8	LICENSE-APACHE	LICENSE-APACHE	cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30	https://raw.githubusercontent.com/udoprog/musli/9d2aabe2f44cafd6cc36fbfeeeae314693902fe8/LICENSE-APACHE
musli	0.0.124	9d2aabe2f44cafd6cc36fbfeeeae314693902fe8	LICENSE-MIT	LICENSE-MIT	51ee5b704d031d646ddbfa65caf9a947ff426431be60ec54f1c76d5b78cb889d	https://raw.githubusercontent.com/udoprog/musli/9d2aabe2f44cafd6cc36fbfeeeae314693902fe8/LICENSE-MIT
musli-core	0.0.124	9d2aabe2f44cafd6cc36fbfeeeae314693902fe8	LICENSE-APACHE	LICENSE-APACHE	cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30	https://raw.githubusercontent.com/udoprog/musli/9d2aabe2f44cafd6cc36fbfeeeae314693902fe8/LICENSE-APACHE
musli-core	0.0.124	9d2aabe2f44cafd6cc36fbfeeeae314693902fe8	LICENSE-MIT	LICENSE-MIT	51ee5b704d031d646ddbfa65caf9a947ff426431be60ec54f1c76d5b78cb889d	https://raw.githubusercontent.com/udoprog/musli/9d2aabe2f44cafd6cc36fbfeeeae314693902fe8/LICENSE-MIT
rune	0.14.2	971350fde49f3ee8ee05f0e8f4416919f298738c	LICENSE-APACHE	LICENSE-APACHE	cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30	https://raw.githubusercontent.com/rune-rs/rune/971350fde49f3ee8ee05f0e8f4416919f298738c/LICENSE-APACHE
rune	0.14.2	971350fde49f3ee8ee05f0e8f4416919f298738c	LICENSE-MIT	LICENSE-MIT	69f4c49c53b3798ea665d464784ede97b4826e59d15a1bac74cbb268789c8b14	https://raw.githubusercontent.com/rune-rs/rune/971350fde49f3ee8ee05f0e8f4416919f298738c/LICENSE-MIT
rune-alloc	0.14.2	971350fde49f3ee8ee05f0e8f4416919f298738c	LICENSE-APACHE	LICENSE-APACHE	cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30	https://raw.githubusercontent.com/rune-rs/rune/971350fde49f3ee8ee05f0e8f4416919f298738c/LICENSE-APACHE
rune-alloc	0.14.2	971350fde49f3ee8ee05f0e8f4416919f298738c	LICENSE-MIT	LICENSE-MIT	69f4c49c53b3798ea665d464784ede97b4826e59d15a1bac74cbb268789c8b14	https://raw.githubusercontent.com/rune-rs/rune/971350fde49f3ee8ee05f0e8f4416919f298738c/LICENSE-MIT
rune-core	0.14.2	971350fde49f3ee8ee05f0e8f4416919f298738c	LICENSE-APACHE	LICENSE-APACHE	cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30	https://raw.githubusercontent.com/rune-rs/rune/971350fde49f3ee8ee05f0e8f4416919f298738c/LICENSE-APACHE
rune-core	0.14.2	971350fde49f3ee8ee05f0e8f4416919f298738c	LICENSE-MIT	LICENSE-MIT	69f4c49c53b3798ea665d464784ede97b4826e59d15a1bac74cbb268789c8b14	https://raw.githubusercontent.com/rune-rs/rune/971350fde49f3ee8ee05f0e8f4416919f298738c/LICENSE-MIT
rune-tracing	0.14.2	971350fde49f3ee8ee05f0e8f4416919f298738c	LICENSE-APACHE	LICENSE-APACHE	cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30	https://raw.githubusercontent.com/rune-rs/rune/971350fde49f3ee8ee05f0e8f4416919f298738c/LICENSE-APACHE
rune-tracing	0.14.2	971350fde49f3ee8ee05f0e8f4416919f298738c	LICENSE-MIT	LICENSE-MIT	69f4c49c53b3798ea665d464784ede97b4826e59d15a1bac74cbb268789c8b14	https://raw.githubusercontent.com/rune-rs/rune/971350fde49f3ee8ee05f0e8f4416919f298738c/LICENSE-MIT
